Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.01332E-4,54.551620092,0.735998299,0.027342581,0.428571429,0.75
8.05152E-4,54.792734885,0.737669071,0.027043209,0.428571429,0.75
8.12015E-4,55.035702535,0.740644331,0.026743838,0.476190476,0.75
8.1966E-4,55.280329883,0.743918743,0.026444467,0.476190476,0.75
8.26943E-4,55.527715798,0.746999569,0.026145095,0.476190476,0.75
8.33071E-4,55.777350993,0.749563315,0.025845724,0.476190476,0.75
8.44922E-4,56.029340987,0.75444761,0.025546353,0.476190476,0.75
8.52364E-4,56.284386346,0.75746599,0.025246981,0.476190476,0.75
8.59055E-4,56.541316248,0.760148028,0.02494761,0.476190476,0.75
8.62726E-4,56.799746851,0.761606894,0.024648239,0.476190476,0.75
8.72879E-4,57.060202802,0.765595958,0.024348867,0.476190476,0.75
8.81278E-4,57.323441883,0.768845254,0.024049496,0.476190476,0.75
8.92409E-4,57.501071145,0.773082145,0.023849915,0.476190476,0.75
8.96853E-4,57.769613503,0.774752107,0.023550544,0.476190476,0.75
9.01066E-4,58.039561908,0.776323832,0.023251173,0.476190476,0.75
9.14693E-4,58.311536012,0.78133241,0.022951801,0.476190476,0.75
9.23679E-4,58.58761526,0.784573976,0.02265243,0.476190476,0.75
9.33255E-4,58.773800598,0.787975244,0.022452849,0.476190476,0.75
9.39317E-4,59.054706831,0.790100622,0.022153478,0.476190476,0.75
9.55273E-4,59.338230676,0.795593882,0.021854106,0.476190476,0.75
9.59618E-4,59.529726266,0.797064677,0.021654525,0.476190476,0.75
9.67056E-4,59.819190315,0.799557948,0.021355154,0.476190476,0.75
9.69775E-4,60.012982531,0.800461721,0.021155573,0.476190476,0.75
9.75497E-4,60.304994679,0.802350117,0.020856202,0.476190476,0.75
9.83766E-4,60.501589568,0.805048002,0.020656621,0.476190476,0.75
9.99179E-4,60.799616666,0.80997834,0.02035725,0.476190476,0.75
1.00686E-3,61.000592186,0.812388064,0.020157669,0.476190476,0.875
1.0182E-3,61.304106833,0.815890866,0.019858298,0.476190476,0.875
1.02055E-3,61.508043076,0.816608902,0.019658717,0.476190476,0.875
1.02668E-3,61.815172761,0.818467939,0.019359345,0.523809524,0.875
1.0353E-3,62.02156683,0.821051598,0.019159764,0.523809524,0.875
1.04163E-3,62.333857366,0.822923389,0.018860393,0.523809524,0.875
1.04527E-3,62.542670691,0.823989816,0.018660812,0.523809524,0.875
1.04771E-3,62.75200773,0.824702494,0.018461231,0.523809524,0.875
1.05454E-3,63.068142966,0.826680764,0.01816186,0.523809524,0.875
1.05705E-3,63.279448343,0.827403241,0.017962279,0.523809524,0.875
1.05908E-3,63.596903996,0.827985607,0.017662908,0.523809524,0.875
1.06846E-3,63.810566992,0.830645218,0.017463327,0.523809524,0.875
1.07091E-3,64.024505766,0.831334058,0.017263746,0.523809524,0.875
1.08703E-3,64.347864371,0.835793686,0.016964375,0.523809524,0.875
1.09378E-3,64.566167262,0.837624361,0.016764794,0.571428571,0.875
1.0965E-3,64.785215325,0.838355866,0.016565213,0.571428571,0.875
1.09964E-3,65.005140441,0.839199243,0.016365632,0.571428571,0.875
1.10146E-3,65.335433982,0.839683641,0.016066261,0.571428571,0.875
1.111E-3,65.557615808,0.842205286,0.01586668,0.571428571,0.875
1.11488E-3,65.780520105,0.84322062,0.015667099,0.571428571,0.875
1.11733E-3,66.003940422,0.843857877,0.015467518,0.571428571,0.875
1.13235E-3,66.34165779,0.847706774,0.015168147,0.619047619,0.875
1.14375E-3,66.569715868,0.850565014,0.014968566,0.619047619,0.875
1.14557E-3,66.798756856,0.851016054,0.014768985,0.619047619,0.875
1.15148E-3,67.028870121,0.852471211,0.014569404,0.619047619,0.875
1.15873E-3,67.2605842,0.854238043,0.014369823,0.619047619,0.875
1.2019E-3,67.615510184,0.864330746,0.014070452,0.619047619,1
1.21706E-3,67.85748588,0.867706592,0.013870871,0.619047619,1
1.22955E-3,68.102381857,0.870425106,0.01367129,0.619047619,1
1.24595E-3,68.351121785,0.873907464,0.013471709,0.619047619,1
1.25684E-3,68.60217305,0.87616896,0.013272129,0.619047619,1
1.26005E-3,68.854181329,0.876829054,0.013072548,0.619047619,1
1.26938E-3,69.107811026,0.878724309,0.012872967,0.619047619,1
1.30104E-3,69.366171295,0.884939581,0.012673386,0.619047619,1
1.30639E-3,69.62734636,0.885959587,0.012473805,0.619047619,1
1.31294E-3,69.758640645,0.887194167,0.012374015,0.619047619,1
1.32114E-3,70.022621197,0.888719722,0.012174434,0.619047619,1
1.32617E-3,70.287455407,0.889647789,0.011974853,0.619047619,1
1.32837E-3,70.553097195,0.890048931,0.011775272,0.619047619,1
1.35711E-3,70.82435595,0.895177298,0.011575691,0.666666667,1
1.36587E-3,71.097461761,0.896693894,0.01137611,0.666666667,1
1.37006E-3,71.371160504,0.897409168,0.011176529,0.666666667,1
1.37382E-3,71.508542484,0.898049066,0.011076739,0.666666667,1
1.37729E-3,71.783767341,0.898634593,0.010877158,0.714285714,1
1.38851E-3,72.060568925,0.900507989,0.010677577,0.714285714,1
1.4038E-3,72.34099997,0.903003833,0.010477996,0.714285714,1
1.42997E-3,72.625407423,0.907133013,0.010278415,0.761904762,1
1.43268E-3,72.768675376,0.907550009,0.010178625,0.761904762,1
1.4494E-3,73.057095136,0.910083775,0.009979044,0.761904762,1
1.46411E-3,73.349093957,0.912255948,0.009779463,0.761904762,1
1.48346E-3,73.644015598,0.915032713,0.009579882,0.761904762,1
1.48795E-3,73.792810293,0.915663528,0.009480092,0.761904762,1
1.51077E-3,74.093155723,0.918802052,0.009280511,0.761904762,1
1.5524E-3,74.399747576,0.924230806,0.00908093,0.761904762,1
1.55583E-3,74.555331042,0.924661879,0.00898114,0.761904762,1
1.56345E-3,74.867710817,0.925609864,0.008781559,0.761904762,1
1.57856E-3,75.025566805,0.927454253,0.008681768,0.761904762,1
1.58764E-3,75.342879233,0.928540383,0.008482187,0.761904762,1
1.5895E-3,75.501829709,0.928761944,0.008382397,0.761904762,1
1.60614E-3,75.822949824,0.930703953,0.008182816,0.761904762,1
1.63334E-3,76.148920011,0.933767815,0.007983235,0.761904762,1
1.63618E-3,76.312538239,0.934079467,0.007883445,0.761904762,1
1.64405E-3,76.640856756,0.934936323,0.007683864,0.761904762,1
1.64509E-3,76.805365681,0.935048115,0.007584073,0.761904762,1
1.65912E-3,77.136153283,0.936545358,0.007384493,0.761904762,1
1.66943E-3,77.303096153,0.9376231,0.007284702,0.761904762,1
1.68318E-3,77.638967237,0.939032736,0.007085121,0.761904762,1
1.69091E-3,77.808057889,0.939810418,0.006985331,0.761904762,1
1.72139E-3,78.151673787,0.942783383,0.00678575,0.761904762,1
1.7333E-3,78.325003659,0.943905139,0.006685959,0.761904762,1
1.75761E-3,78.67481239,0.946126318,0.006486379,0.761904762,1
1.77536E-3,78.852348118,0.947692297,0.006386588,0.761904762,1
1.80293E-3,79.032640666,0.950034848,0.006286798,0.761904762,1
1.84185E-3,79.400188305,0.953164885,0.006087217,0.761904762,1
1.8683E-3,79.587018227,0.955179042,0.005987426,0.761904762,1
1.87593E-3,79.774611502,0.955744085,0.005887636,0.761904762,1
1.95238E-3,80.165053046,0.961024535,0.005688055,0.761904762,1
1.96033E-3,80.361085989,0.961535979,0.005588265,0.761904762,1
1.97891E-3,80.558977314,0.962705819,0.005488474,0.761904762,1
1.98804E-3,80.757781096,0.963267114,0.005388684,0.761904762,1
2.0481E-3,81.166067758,0.966756851,0.005189103,0.761904762,1
2.08366E-3,81.374434029,0.968664689,0.005089312,0.761904762,1
2.09826E-3,81.584259921,0.969415695,0.004989522,0.761904762,1
2.11832E-3,81.796091844,0.970418561,0.004889732,0.761904762,1
2.14716E-3,82.010807849,0.97180304,0.004789941,0.761904762,1
2.2278E-3,82.451569036,0.975339933,0.00459036,0.761904762,1
2.25294E-3,82.676862977,0.976348872,0.00449057,0.761904762,1
2.25871E-3,82.902733715,0.976574515,0.004390779,0.761904762,1
2.26196E-3,83.128929527,0.976700734,0.004290989,0.761904762,1
2.31588E-3,83.360517889,0.978698049,0.004191198,0.761904762,1
2.32248E-3,83.592765997,0.978930346,0.004091408,0.761904762,1
2.32941E-3,83.825706822,0.979171526,0.003991618,0.761904762,1
2.37264E-3,84.062970524,0.980615466,0.003891827,0.761904762,1
2.37815E-3,84.300785156,0.980792147,0.003792037,0.761904762,1
2.38979E-3,84.539764085,0.981160254,0.003692246,0.761904762,1
2.4028E-3,84.780044043,0.981563251,0.003592456,0.761904762,1
2.42161E-3,85.022205455,0.982130837,0.003492665,0.761904762,1
2.4284E-3,85.265045401,0.982331218,0.003392875,0.761904762,1
2.47322E-3,85.512367504,0.983599583,0.003293085,0.761904762,1
2.47806E-3,85.76017348,0.983730945,0.003193294,0.761904762,1
2.47966E-3,86.008139011,0.983774029,0.003093504,0.761904762,1
2.48097E-3,86.256235992,0.983809439,0.002993713,0.761904762,1
2.5025E-3,86.506486081,0.984378563,0.002893923,0.761904762,1
2.71071E-3,86.777557025,0.988948067,0.002794132,0.761904762,1
2.97237E-3,87.074794098,0.99284559,0.002694342,0.761904762,1
2.98635E-3,87.373429094,0.993009894,0.002594551,0.761904762,1
3.05827E-3,87.679256275,0.993797435,0.002494761,0.761904762,1
3.14412E-3,87.993668421,0.994622184,0.002394971,0.761904762,1
3.1504E-3,88.30870832,0.994678,0.00229518,0.761904762,1
3.3416E-3,88.642868814,0.996126849,0.00219539,0.761904762,1
3.52796E-3,88.99566436,0.997158429,0.002095599,0.761904762,1
3.62537E-3,89.35820168,0.997583185,0.001995809,0.761904762,1
3.86972E-3,89.74517372,0.998389813,0.001896018,0.761904762,1
3.93433E-3,90.138606417,0.998553748,0.001796228,0.761904762,1
4.01842E-3,90.540447923,0.998742378,0.001696437,0.761904762,1
4.36575E-3,90.977022658,0.999293928,0.001596647,0.761904762,1
4.47374E-3,91.424396738,0.999409934,0.001496857,0.761904762,1
4.50539E-3,91.874936016,0.999440172,0.001397066,0.761904762,1
4.65355E-3,92.340290689,0.999562358,0.001297276,0.761904762,1
4.69551E-3,92.809841257,0.999591838,0.001197485,0.761904762,1
4.8124E-3,93.291081425,0.999663908,0.001097695,0.80952381,1
4.92952E-3,93.784032933,0.999723352,0.000997904,0.80952381,1
