SPECIES,LONG_WGS84,LAT_WGS84,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-116.96972,34.21944,-116.96972,34.21944,2334,689,1586,49,58019,2441.274902,-757.924988,3199.199951,52,1466,1470,5,92341.35156,17955.40039,364.049988,82,51192.32813,4079.25,6270,48049
Microtus californicus,-118.408788,34.022188,-118.408788,34.022188,30,1604,1012,58,25390,2413.050049,670.075012,1742.975098,1303,1892,1943,1283,37181.64844,8512.525391,14.05,101,23115.65039,302.399994,716,22661
Microtus californicus,-118.12,36.55,-118.12,36.55,1578,1277,1457,42,68627,3216.5,-193,3409.5,424,1928,2187,424,19002.82422,4930.125,272.5,85,10625.65039,1499.225098,1613,10626
Microtus californicus,-122.29,37.89,-122.29,37.89,34,1387,878,54,26189,2175,566.400024,1608.599976,1012,1653,1678,1012,51355.85156,11569.4502,20.475,93,30053.42578,522.725037,1150,30053
Microtus californicus,-123.414931,39.822969,-123.414931,39.822969,285,1377,1640,51,53476,3339.324951,149.449997,3189.875,726,2074,2088,726,129736.9766,26547.5,103.349999,87,73026.625,1891.399902,2616,73027
Microtus californicus,-122.989092,40.391527,-122.989092,40.391527,983,1082,1356,42,63716,2964.324951,-206.699997,3171.024902,317,1930,1930,317,98568.22656,18678.47461,151.25,83,52621.30078,1946.100098,1946,52621
Microtus californicus,-123.015054,40.394887,-123.015054,40.394887,1229,1058,1298,41,63709,2913.350098,-187.449997,3100.800049,305,1907,1913,305,102191.7266,19546,147.274994,83,54569.42578,2043.050049,2516,54569
Microtus californicus,-122.522138,37.951462,-122.522138,37.951462,75,1394,1349,58,34988,2686.149902,386.924988,2299.224854,908,1788,1806,908,98851.875,22089.44922,29.75,96,59224.97656,708.674988,1775,59225
Microtus californicus,-117.07,32.78,-117.07,32.78,105,1660,1309,56,34264,2827.774902,491.075012,2336.699951,1272,2083,2134,1242,33151.97656,7051.399902,92.649994,90,19095.15039,378.149994,724,18456
Microtus californicus,-122.601987,38.215829,-122.601987,38.215829,27,1384,1461,58,37340,2769.850098,283.549988,2486.300049,893,1822,1851,893,66233.02344,15216.94922,25.875,96,40273.17578,643.600037,1060,40273
Microtus californicus,-122.614167,38.227945,-122.614167,38.227945,3,1382,1478,59,37054,2765.800049,284.049988,2481.75,893,1816,1845,893,67107.625,15268.2002,23.949999,96,40796.92578,642.75,1143,40797
Microtus californicus,-121.511302,38.392349,-121.511302,38.392349,3,1555,1484,48,55083,3333.399902,279.325012,3054.074951,841,2247,2247,841,42071.07422,9244.224609,6.5,93,24846.625,430.5,431,24847
Microtus californicus,-122.2696,37.90557,-122.2696,37.90557,236,1366,997,52,33075,2345.925049,457.75,1888.175049,913,1732,1763,913,61789.32422,13107.4248,50.674999,90,35284.97656,789.174988,1385,35285
Microtus californicus,-122.24,37.86,-122.24,37.86,229,1361,930,54,28589,2205.824951,504.299988,1701.524902,954,1653,1678,954,59360.85156,12722.625,18.950001,90,34092.375,779.149963,1277,34092
Microtus californicus,-122.28,37.92,-122.28,37.92,188,1398,1033,49,36362,2534.975098,454.075012,2080.900146,903,1818,1838,903,59002.09766,12809.97461,23.049999,92,34041.32422,642.099976,1257,34041
Microtus californicus,-121.7082,40.3255,-121.7082,40.3255,1354,1123,1283,41,63082,2978.875,-122.549995,3101.425049,386,1976,1976,386,104944.3203,17828.47461,236.199997,72,51331.69922,3503.75,3504,51332
Microtus californicus,-122.09,37.5,-122.09,37.5,0,1427,1187,56,33913,2525.25,418.875,2106.375,969,1817,1838,969,36674.55078,7738.974609,24.125,91,21251.02344,416.25,902,21251
Microtus californicus,-117.182,34.056,-117.182,34.056,425,1708,1639,52,49568,3440.324951,328.924988,3111.399902,1179,2354,2388,1107,36681.97656,7327.5,91.5,85,20689.625,712.724976,1219,19220
Microtus californicus,-118.47,34.03,-118.47,34.03,52,1573,938,58,23827,2320.5,712.700012,1607.800049,1289,1841,1894,1279,39417.52344,9168.950195,12.6,100,24401.65039,391.674988,830,24143
Microtus californicus,-122.056599,36.950532,-122.056599,36.950532,14,1328,1281,66,23338,2257.350098,338.399994,1918.950073,1009,1591,1613,1009,69853,16323.8252,74.25,97,42979.42578,796.924988,1544,42979
Microtus californicus,-121.884536,36.973547,-121.884536,36.973547,60,1359,1429,66,26005,2435.575195,293.774994,2141.800293,1008,1651,1677,1008,62355.94922,13615.59961,64.950005,95,37196.32422,555.950012,1313,37196
