SPECIES,LONG_WGS84,LAT_WGS84,YEAR,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Callospermophilus lateralis,-119.83,41.93,1977,581,1298,37,72364,2555.8125,-875.237488,3431.050049,-202,1530,1548,-291,30427.05664,3629.637451,531.362488,38,10289.25586,3233.800049,3966,9573
Callospermophilus lateralis,-117.956966,36.711485,1977,217,1271,43,58563,1802.262451,-1143.03125,2945.293701,-412,774,1022,-442,33233.05469,5267.84375,807.424988,51,14483.0127,4270.456055,4718,13605
Callospermophilus lateralis,-120.72,40.56,1978,669,1291,40,67004,2583.987549,-631.03125,3215.018799,-85,1570,1584,-85,66107.26563,13175,644.375,80,37243.13281,3525.350098,3676,37243
Callospermophilus lateralis,-116.942943,34.221713,1979,766,1638,50,59108,2610.65625,-624.118774,3234.774902,147,1330,1567,88,73435.60156,15973.6377,321.75,85,42153.94922,3731.074951,3811,39009
Callospermophilus lateralis,-119.036484,38.18358,1979,393,2026,51,67504,2557.800049,-1409.262451,3967.0625,-424,956,1289,-424,29202.93164,4052.375,1243.018799,43,11581.8125,3967.981445,4473,11582
Callospermophilus lateralis,-118.982881,38.224424,1979,406,1811,48,66622,2466.987549,-1247.106201,3714.09375,-392,969,1296,-392,29473.89453,3844.800049,1287.775024,41,11343.66895,4071.375,4748,11344
Callospermophilus lateralis,-119.103365,38.263485,1979,378,1676,47,64417,2372.662598,-1145.793701,3518.456299,-375,1251,1251,-375,49951.50781,8018.612305,1437.237549,61,23272.82422,4695.625,4696,23273
Callospermophilus lateralis,-119.076307,38.272332,1979,353,1585,46,63772,2292.481201,-1084.1875,3376.668701,-378,1219,1219,-378,48758.30469,7517.043945,1428.775024,58,21898.15039,4842.725098,4843,21898
Callospermophilus lateralis,-123.43,42.11,1979,1063,1328,45,56929,2839.199951,-60.856251,2900.056152,473,1814,1864,447,166649.2969,32114.36914,1149.15625,76,84753.55469,5319.725098,6258,80803
Callospermophilus lateralis,-121.6841,44.3996,1980,740,1513,46,60548,2727.899902,-552.681274,3280.581055,64,1540,1561,21,68907.77344,12193.52539,954.237549,66,34163.82031,4581.53125,4762,31386
Callospermophilus lateralis,-116.77823,34.17015,1980,845,1479,46,60709,2599.53125,-552.400024,3151.931152,200,1430,1662,134,77332.125,17522.35547,179.96875,88,44232.12891,2688.143555,3684,43414
Callospermophilus lateralis,-116.81318,34.18466,1980,799,1570,49,57020,2558.425049,-622.275024,3180.700195,190,1355,1579,147,69679.75,14322.44336,322.918762,85,40468.34375,3492.225098,3855,34748
Callospermophilus lateralis,-105.58,40.07,1980,-31,1236,37,72334,1783.981201,-1481.90625,3265.887451,-182,538,944,-903,95335.57031,12871.1123,4802.193848,28,32972.0625,17752.38672,18689,23925
Callospermophilus lateralis,-115.92,41.39,1980,585,1426,38,77986,2734.443848,-993.631226,3728.075195,-268,1599,1628,-365,34935.89844,4153.668945,1385.731201,32,11934.21289,4776.349609,5379,11260
